alpha,sigma
2.943198140044831,7.277822154009803
2.648927468191599,7.124941611358075
3.3395189950334077,6.725453654388025
3.831274294408336,7.156668510077797
3.2353258357027843,6.803071471444321
3.396820610624294,6.951491651206075
1.9723039368129074,7.413648407185824
2.783756671252254,7.910972473301816
2.7072846707734914,7.0614262162871615
2.835347957597598,6.783167911293477
3.0326718990492587,7.070139047569338
2.3473974871307393,8.049782361711275
3.0816108673262876,8.102158892669966
2.6545861635775894,9.048894130078773
3.6284049575846984,7.171529691685345
2.476568510805008,8.030485623825712
3.4856592313650254,7.064898332453182
1.8331422810450508,9.517614344402677
2.1029660167999316,8.752886712269381
3.9438023699273153,6.386343074889096
2.835112477118479,6.071541388956503
2.697021453072316,6.704909353680615
3.9730191593962374,7.234936612990864
2.101297432554882,8.498915377640623
3.5244487520011605,7.389142714200321
2.274318453592987,8.143561892926222
3.3497956087064558,6.950162931094582
2.9862450967951153,6.666091701651973
3.6493681039024968,6.7968645828726775
3.4961231888599444,6.805118943398861
2.0043274970196734,7.694331300404291
3.90269452863292,6.347975979619097
3.5728372829432753,6.862819816711363
2.660189353811369,7.127179882918779
2.5559315032608247,7.175938990432976
2.8822937049014947,7.108385941847699
4.27026109008121,7.422374421072752
1.8198817087196228,8.163147296464178
2.842579249302217,6.66078070006057
2.8680219790115253,8.039266577116745
3.370937477871949,6.774037626923195
2.3612052018083487,7.333078357353061
2.6195206973331877,7.506162985614786
3.2444243904349284,7.3406759459064554
2.451208297706837,6.991854921009151
2.9272585843767938,7.319758624474037
2.2127376108295285,8.10549569095847
3.4387111751115658,6.3635998664863385
3.0530092777140134,7.12695146629799
2.148203990397921,7.356686894789174
2.5796955699196165,7.678533757972745
2.671746152017266,7.890911941548458
2.8655141408949247,7.458289985795556
3.8032887960708766,6.533921914353858
2.4149544236171563,6.716545148024427
2.9027763791327343,6.340546370801484
2.3189642331433036,8.535861747761444
3.3530694611520473,7.706863504407685
3.4487728615469813,6.833277043375052
2.7647330518990203,6.683214040153413
