gamma_mean_forward,gamma_var_forward,scale,shape,date_onset,n_used,direction
3.18877213299857,16.871317320547,5.29085071521934,0.602695540780604,2021-01-28,50,forward
3.40927312132749,19.8027403428904,5.80849337620087,0.58694620110893,2021-01-29,51,forward
3.99273355025798,29.6504802652635,7.42611043087202,0.537661483413886,2021-01-30,51,forward
4.20311700972889,33.2361894516998,7.90750992055862,0.531534838647659,2021-01-31,54,forward
4.2475385898797,31.4759671406682,7.41040168903085,0.573186011787601,2021-02-01,59,forward
4.56913029760472,35.0776403157943,7.67709345784757,0.595164084258233,2021-02-02,62,forward
5.44386161450916,39.6681139669312,7.28676016693856,0.747089445760685,2021-02-03,52,forward
5.29496176161248,38.5855135381464,7.28721287807674,0.726610001684202,2021-02-04,54,forward
5.80255105975084,34.7962010331685,5.99670742658878,0.96762283816331,2021-02-05,50,forward
5.80255105975084,34.7962010331685,5.99670742658878,0.96762283816331,2021-02-06,50,forward
5.80255105975084,34.7962010331685,5.99670742658878,0.96762283816331,2021-02-07,50,forward
5.80273084764485,32.6120777735923,5.62012587346328,1.03249126056834,2021-02-08,54,forward
5.80273084764485,32.6120777735923,5.62012587346328,1.03249126056834,2021-02-09,54,forward
5.80273084764485,32.6120777735923,5.62012587346328,1.03249126056834,2021-02-10,54,forward
5.80273084764485,32.6120777735923,5.62012587346328,1.03249126056834,2021-02-11,54,forward
5.77876544034552,31.6397342887058,5.47517192302132,1.05544912956024,2021-02-12,55,forward
5.77876544034552,31.6397342887058,5.47517192302132,1.05544912956024,2021-02-13,55,forward
