province_use,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25
Yunnan,0.01944544472452287,0.02068787173519524,0.020146520146520144,0.019838809671419717,0.019454201567144013,0.022564374834085476,0.020860839714813836,0.022527187985499738,0.019490644490644492,0.01937680020947892,0.019957015658581514,0.020523497917906003,0.0221606648199446,0.018465909090909092,0.016272189349112426,0.016934306569343065,0.016343825665859565,0.014980026631158454,0.016065573770491802,0.016706443914081145,0.016335227272727276,0.015457788347205707,0.014084507042253523,0.01561365286855483,0.021226415094339625
Hainan,0.016204537270435724,0.017326092578226013,0.01282051282051282,0.014569125852448853,0.014050256687381787,0.016193257233873107,0.017428043306047,0.013982392542723978,0.013773388773388772,0.012045037968054464,0.01105311636475284,0.01368233194527067,0.0110803324099723,0.011079545454545455,0.01124260355029586,0.012262773722627735,0.011501210653753027,0.010652463382157123,0.012786885245901635,0.01261506989430617,0.012784090909090912,0.013079667063020215,0.013657703798548871,0.01815541031227306,0.026729559748427674
Guizhou,0.02304645300684192,0.02560124127230411,0.027167277167277168,0.029138251704897707,0.027560118886787357,0.0310591983010353,0.030631106416688664,0.0336613153806318,0.03222453222453222,0.02670856245090338,0.023334356770033777,0.02587745389649018,0.027146814404432132,0.02272727272727273,0.01745562130177515,0.017226277372262774,0.01543583535108959,0.014980026631158454,0.015409836065573767,0.015342652574156151,0.013494318181818184,0.011890606420927468,0.012377294067434914,0.013435003631082064,0.015723270440251576
Tianjin,0.0072020165646381005,0.0064649599172485125,0.007020757020757021,0.008369497830130194,0.008646311807619564,0.008229360233607645,0.0071296540797465,0.0077679958570688774,0.007016632016632017,0.007593610892903901,0.006754682222904514,0.0065437239738251034,0.006094182825484765,0.004829545454545454,0.006508875739644971,0.00583941605839416,0.004539951573849879,0.004660452729693742,0.004590163934426229,0.0037504261847937266,0.003196022727272728,0.0027744748315497426,0.0025608194622279133,0.0032679738562091504,0.003144654088050315
Shanxi,0.014764133957508106,0.017067494181536073,0.014346764346764348,0.01828890266584005,0.013780059443393678,0.016989646933899653,0.019012410879324,0.021491455204557225,0.023388773388773383,0.021733438072793924,0.020571077678845563,0.02290303390838786,0.0221606648199446,0.01960227272727273,0.019230769230769232,0.01489051094890511,0.01725181598062954,0.017643142476697734,0.018688524590163933,0.01875213092396863,0.018465909090909092,0.01902497027348395,0.020059752454118656,0.01924473493100944,0.015330188679245283
Liaoning,0.011883327331652866,0.011119731057667441,0.009768009768009768,0.011779293242405455,0.011618481491488787,0.012742235200424739,0.013203063110641667,0.011134127395132056,0.011174636174636174,0.01125949201361613,0.01105311636475284,0.011005353955978583,0.011634349030470914,0.011647727272727275,0.010650887573964497,0.012262773722627735,0.011803874092009684,0.011318242343541944,0.01245901639344262,0.011592226389362427,0.010298295454545456,0.008323424494649227,0.0072556551429790875,0.006899055918663762,0.009040880503144656
Jilin,0.004681310767014765,0.0046547711404189285,0.004884004884004884,0.005579665220086794,0.005133747635774115,0.005309264666843642,0.0052812252442566675,0.006473329880890731,0.005977130977130977,0.004975124378109453,0.004912496162112374,0.00594883997620464,0.006371191135734072,0.006250000000000001,0.00562130177514793,0.005255474452554744,0.006658595641646489,0.005659121171770972,0.00622950819672131,0.005455165359699966,0.005326704545454547,0.004756242568370987,0.004694835680751175,0.006535947712418301,0.00628930817610063
Gansu,0.007562117392870005,0.011895526247737263,0.009462759462759462,0.012089274643521388,0.0118886787354769,0.01406955136713565,0.014523369421705833,0.014759192128430866,0.015072765072765072,0.013616129876931131,0.012281240405280934,0.014574657941701366,0.014404432132963989,0.013636363636363636,0.012130177514792902,0.010218978102189781,0.009987893462469732,0.009320905459387484,0.010163934426229506,0.009887487214456188,0.009943181818181821,0.010701545778834722,0.00938967136150235,0.011982570806100218,0.011399371069182391
Xinjiang,0.00648181490817429,0.008792345487457977,0.008852258852258852,0.008989460632362058,0.008646311807619564,0.01141491903371383,0.01082651175072617,0.011910926980838944,0.010395010395010396,0.009426551453260016,0.009824992324224747,0.011005353955978583,0.010526315789473684,0.010795454545454547,0.007396449704142013,0.007007299270072992,0.004539951573849879,0.0063249001331557924,0.003934426229508195,0.004432321854756222,0.003906250000000002,0.0035671819262782403,0.00384122919334187,0.004720406681190994,0.005110062893081761
Inner Mongolia,0.00432120993878286,0.00543056633048875,0.005189255189255189,0.006819590824550527,0.0054039448797622265,0.006902044066896734,0.007393715341959334,0.0077679958570688774,0.008575883575883575,0.008117308195862791,0.007061713233036537,0.008923259964306958,0.00775623268698061,0.006250000000000001,0.0053254437869822485,0.006131386861313867,0.005447941888619854,0.0039946737683089215,0.004590163934426229,0.00477326968973747,0.004971590909090911,0.004756242568370987,0.00384122919334187,0.0054466230936819175,0.0066823899371069185
Ningxia,0.00216060496939143,0.003620377553659167,0.002442002442002442,0.0040297582145071295,0.0037827614158335585,0.003451022033448367,0.0034327964087668334,0.004401864319005697,0.005717255717255718,0.004451427075150563,0.004298434141848327,0.004759071980963712,0.004155124653739612,0.0031250000000000006,0.002366863905325444,0.002627737226277372,0.001513317191283293,0.002330226364846871,0.0026229508196721307,0.002045687009887487,0.0017755681818181822,0.001585414189456996,8.536064874093045e-4,0.0018155410312273058,0.002358490566037736
Qinghai,0.0018005041411595251,0.0028445823635893453,0.002136752136752137,0.00309981401115933,0.0027019724398811133,0.003716485266790549,0.003696857670979667,0.004142931123770067,0.002858627858627859,0.003404032469232783,0.0021492170709241634,0.0038667459845330154,0.002770083102493075,0.0028409090909090914,0.002071005917159764,0.001751824817518248,0.0012106537530266344,0.0013315579227696404,9.836065573770487e-4,0.0010228435049437436,7.102272727272729e-4,0.0011890606420927468,8.536064874093045e-4,0.0014524328249818446,0.001965408805031447
Hubei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
