sampno,shape,scale,size,weibull_alpha,weibull_sigma,imports_stop,export_prob,serial_interval,lnorm_mean,lnorm_sd,serial_interval_gamma_par1,serial_interval_gamma_par2,t_switch,K,growth_rate,i0,t0,local_r,growth_rate.1,i0.1,t0.1,local_r.1,growth_rate.2,i0.2,t0.2,local_r.2,growth_rate.3,i0.3,t0.3,local_r.3,growth_rate.4,i0.4,t0.4,local_r.4,growth_rate.5,i0.5,t0.5,local_r.5,growth_rate.6,i0.6,t0.6,local_r.6,growth_rate.7,i0.7,t0.7,local_r.7,growth_rate.8,i0.8,t0.8,local_r.8,growth_rate.9,i0.9,t0.9,local_r.9,growth_rate.10,i0.10,t0.10,local_r.10,growth_rate.11,i0.11,t0.11,local_r.11,growth_rate.12,i0.12,t0.12,local_r.12,growth_rate.13,i0.13,t0.13,local_r.13,growth_rate.14,i0.14,t0.14,local_r.14,growth_rate.15,i0.15,t0.15,local_r.15,growth_rate.16,i0.16,t0.16,local_r.16,growth_rate.17,i0.17,t0.17,local_r.17,growth_rate.18,i0.18,t0.18,local_r.18,growth_rate.19,i0.19,t0.19,local_r.19,growth_rate.20,i0.20,t0.20,local_r.20,growth_rate.21,i0.21,t0.21,local_r.21,growth_rate.22,i0.22,t0.22,local_r.22,growth_rate.23,i0.23,t0.23,local_r.23,growth_rate.24,i0.24,t0.24,local_r.24,growth_rate.25,i0.25,t0.25,local_r.25,lnlike
11,5.28879717502101,2.06933924936199,500,1.5762732640722,5.54997844711061,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,2.11872464871233,0,0,1e-5,4.92632788566743,0,0,1e-5,1.21604681656451,0,0,1e-5,2.38003425989658,0,0,1e-5,0.470238927629557,0,0,1e-5,0.883437198418376,0,0,1e-5,0.305631297551121,0,0,1e-5,4.79895081503113,0,0,1e-5,1.22534784907792,0,0,1e-5,1.6829834615765,0,0,1e-5,7.75930249185615,0,0,1e-5,1.35863432482503,0,0,1e-5,0.530485055242411,0,0,1e-5,0.840443166014172,0,0,1e-5,0.298716259090589,0,0,1e-5,0.87283632138187806,0,0,1e-5,1.05764563313991,0,0,1e-5,1.69752306787621,0,0,1e-5,0.763022264940983,0,0,1e-5,0.170582001740115,0,0,1e-5,0.732860409714594,0,0,1e-5,0.927034160163738,0,0,1e-5,4.66968820428688,0,0,1e-5,0.921650722064313,0,0,1e-5,2.03332156868576,-2906.61866937747
12,5.26761420043877,2.08481989105903,500,1.5762732640722,5.65970752715642,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.75110503085492,0,0,1e-5,5.85926738577924,0,0,1e-5,1.21604681656451,0,0,1e-5,2.27732941148928,0,0,1e-5,0.508028243533614,0,0,1e-5,0.955853748368776,0,0,1e-5,0.441760213260685,0,0,1e-5,4.61308242332412,0,0,1e-5,1.36328989548928,0,0,1e-5,1.6829834615765,0,0,1e-5,7.26931504988613,0,0,1e-5,1.38767034926152,0,0,1e-5,0.530485055242411,0,0,1e-5,0.840443166014172,0,0,1e-5,0.100812301174248,0,0,1e-5,0.87283632138187806,0,0,1e-5,1.1601489804226,0,0,1e-5,1.43924902496294,0,0,1e-5,0.543103158308147,0,0,1e-5,0.170582001740115,0,0,1e-5,0.732860409714594,0,0,1e-5,0.927034160163738,0,0,1e-5,4.66968820428688,0,0,1e-5,0.921650722064313,0,0,1e-5,2.07595817728189,-2912.22334453738
13,5.28037994682388,2.04795289384878,500,1.5762732640722,5.65970752715642,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.75110503085492,0,0,1e-5,6.20519902010954,0,0,1e-5,1.21604681656451,0,0,1e-5,2.27732941148928,0,0,1e-5,0.508028243533614,0,0,1e-5,0.955853748368776,0,0,1e-5,0.441760213260685,0,0,1e-5,4.78268100912347,0,0,1e-5,1.36328989548928,0,0,1e-5,1.6829834615765,0,0,1e-5,8.28210938271681,0,0,1e-5,1.13571544162042,0,0,1e-5,0.530485055242411,0,0,1e-5,0.840443166014172,0,0,1e-5,0.0903785487784474,0,0,1e-5,0.784973016685204,0,0,1e-5,1.15344919616102,0,0,1e-5,1.68331250251009,0,0,1e-5,0.543103158308147,0,0,1e-5,0.170582001740115,0,0,1e-5,0.996622706019173,0,0,1e-5,0.785817776980773,0,0,1e-5,4.91583844967792,0,0,1e-5,0.921650722064313,0,0,1e-5,2.0490195064689,-2908.95758346088
14,5.28037994682388,2.07385789491307,500,1.5762732640722,5.65970752715642,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.76697453410492,0,0,1e-5,5.8343302198761,0,0,1e-5,1.22550050651251,0,0,1e-5,2.27732941148928,0,0,1e-5,0.508028243533614,0,0,1e-5,0.955853748368776,0,0,1e-5,0.441760213260685,0,0,1e-5,4.78268100912347,0,0,1e-5,1.36328989548928,0,0,1e-5,1.6829834615765,0,0,1e-5,8.28210938271681,0,0,1e-5,1.13571544162042,0,0,1e-5,0.530485055242411,0,0,1e-5,0.840443166014172,0,0,1e-5,0.0903785487784474,0,0,1e-5,0.784973016685204,0,0,1e-5,1.15344919616102,0,0,1e-5,1.68331250251009,0,0,1e-5,0.543103158308147,0,0,1e-5,0.170582001740115,0,0,1e-5,0.996622706019173,0,0,1e-5,0.785817776980773,0,0,1e-5,4.91583844967792,0,0,1e-5,0.921650722064313,0,0,1e-5,2.0490195064689,-2906.46216268053
15,5.28037994682388,2.07385789491307,500,1.5762732640722,5.65970752715642,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.76697453410492,0,0,1e-5,5.8343302198761,0,0,1e-5,1.22550050651251,0,0,1e-5,2.27732941148928,0,0,1e-5,0.508028243533614,0,0,1e-5,0.955853748368776,0,0,1e-5,0.534168187727363,0,0,1e-5,4.78268100912347,0,0,1e-5,1.4229612964707,0,0,1e-5,1.6829834615765,0,0,1e-5,8.28210938271681,0,0,1e-5,1.13571544162042,0,0,1e-5,0.530485055242411,0,0,1e-5,0.844581070889741,0,0,1e-5,0.0205710246110551,0,0,1e-5,0.784973016685204,0,0,1e-5,1.14627594573361,0,0,1e-5,1.68331250251009,0,0,1e-5,0.857380701740783,0,0,1e-5,0.170582001740115,0,0,1e-5,0.728040595960476,0,0,1e-5,0.694254798343454,0,0,1e-5,4.55691681238773,0,0,1e-5,0.811520272435618,0,0,1e-5,2.0490195064689,-2910.63888178981
16,5.31309021814774,2.04950678159911,500,1.56058897433003,5.68434719722593,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.76697453410492,0,0,1e-5,5.8343302198761,0,0,1e-5,1.20905467499388,0,0,1e-5,2.27744711187544,0,0,1e-5,0.508028243533614,0,0,1e-5,0.955853748368776,0,0,1e-5,0.534168187727363,0,0,1e-5,4.78268100912347,0,0,1e-5,1.4229612964707,0,0,1e-5,1.6829834615765,0,0,1e-5,8.28210938271681,0,0,1e-5,1.13571544162042,0,0,1e-5,0.530485055242411,0,0,1e-5,0.844581070889741,0,0,1e-5,0.0205710246110551,0,0,1e-5,0.784973016685204,0,0,1e-5,1.14627594573361,0,0,1e-5,1.68331250251009,0,0,1e-5,0.857380701740783,0,0,1e-5,0.170582001740115,0,0,1e-5,0.728040595960476,0,0,1e-5,0.694254798343454,0,0,1e-5,4.55691681238773,0,0,1e-5,0.811520272435618,0,0,1e-5,2.0490195064689,-2909.22217364397
17,5.31309021814774,2.04950678159911,500,1.56058897433003,5.68434719722593,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.76697453410492,0,0,1e-5,5.8343302198761,0,0,1e-5,1.20905467499388,0,0,1e-5,2.27744711187544,0,0,1e-5,0.508028243533614,0,0,1e-5,1.07727142915615,0,0,1e-5,0.362052937746857,0,0,1e-5,4.78268100912347,0,0,1e-5,1.4229612964707,0,0,1e-5,2.3648962527814,0,0,1e-5,8.28210938271681,0,0,1e-5,1.13571544162042,0,0,1e-5,0.530485055242411,0,0,1e-5,1.0128584695382301,0,0,1e-5,0.291511752888833,0,0,1e-5,0.734978344906598,0,0,1e-5,1.10923074302977,0,0,1e-5,1.68331250251009,0,0,1e-5,0.52901462486569,0,0,1e-5,0.170582001740115,0,0,1e-5,0.728040595960476,0,0,1e-5,0.921121337330999,0,0,1e-5,5.42458619269424,0,0,1e-5,1.06040762289734,0,0,1e-5,2.20294891327404,-2908.51738733033
18,5.37508952641684,2.0079208737028,500,1.56058897433003,5.68434719722593,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.76697453410492,0,0,1e-5,5.17061737929906,0,0,1e-5,1.13795367954156,0,0,1e-5,2.29930744907367,0,0,1e-5,0.508028243533614,0,0,1e-5,1.07727142915615,0,0,1e-5,0.362052937746857,0,0,1e-5,4.78268100912347,0,0,1e-5,1.4229612964707,0,0,1e-5,2.3648962527814,0,0,1e-5,8.28210938271681,0,0,1e-5,1.13571544162042,0,0,1e-5,0.530485055242411,0,0,1e-5,1.0128584695382301,0,0,1e-5,0.291511752888833,0,0,1e-5,0.734978344906598,0,0,1e-5,1.10923074302977,0,0,1e-5,1.68331250251009,0,0,1e-5,0.52901462486569,0,0,1e-5,0.170582001740115,0,0,1e-5,0.728040595960476,0,0,1e-5,0.921121337330999,0,0,1e-5,5.42458619269424,0,0,1e-5,1.06040762289734,0,0,1e-5,2.20294891327404,-2904.95284309729
19,5.37508952641684,2.0079208737028,500,1.56058897433003,5.68434719722593,54,1,4,1.4,0.466,5.23,0.87,48,233693.12103009,0.25,1,37,0,0,0,1e-5,1.76697453410492,0,0,1e-5,5.17061737929906,0,0,1e-5,1.13795367954156,0,0,1e-5,2.29930744907367,0,0,1e-5,0.508028243533614,0,0,1e-5,1.07727142915615,0,0,1e-5,0.362052937746857,0,0,1e-5,4.78268100912347,0,0,1e-5,1.4229612964707,0,0,1e-5,2.3648962527814,0,0,1e-5,8.28210938271681,0,0,1e-5,1.09421771083524,0,0,1e-5,0.530485055242411,0,0,1e-5,1.0128584695382301,0,0,1e-5,0.211771667141922,0,0,1e-5,0.734978344906598,0,0,1e-5,1.10923074302977,0,0,1e-5,1.68331250251009,0,0,1e-5,0.52901462486569,0,0,1e-5,0.170582001740115,0,0,1e-5,0.728040595960476,0,0,1e-5,0.921121337330999,0,0,1e-5,5.42458619269424,0,0,1e-5,1.06040762289734,0,0,1e-5,2.20294891327404,-2905.27868537484
20,5.3782138227464,2.0079208737028,500,1.63208448745433,5.68434719722593,54,1,4,1.4,0.466,5.23,0.87,48,230560.280969641,0.25,1,37,0,0,0,1e-5,1.930433257261,0,0,1e-5,5.17061737929906,0,0,1e-5,1.14633016409219,0,0,1e-5,2.25344996203462,0,0,1e-5,0.391384393063664,0,0,1e-5,1.07727142915615,0,0,1e-5,0.362052937746857,0,0,1e-5,4.53031106460748,0,0,1e-5,1.4229612964707,0,0,1e-5,2.3648962527814,0,0,1e-5,8.28210938271681,0,0,1e-5,1.10903217855164,0,0,1e-5,0.530485055242411,0,0,1e-5,1.0128584695382301,0,0,1e-5,0.211771667141922,0,0,1e-5,0.699522497814645,0,0,1e-5,1.12462728434116,0,0,1e-5,1.68331250251009,0,0,1e-5,0.52901462486569,0,0,1e-5,0.170582001740115,0,0,1e-5,1.36354872028996,0,0,1e-5,0.665119492863875,0,0,1e-5,5.62303686302629,0,0,1e-5,1.05656079087185,0,0,1e-5,1.96286285060266,-2904.6464548429
