"sampno","shape","scale","size","weibull_alpha","weibull_sigma","imports_stop","export_prob","serial_interval","lnorm_mean","lnorm_sd","serial_interval_gamma_par1","serial_interval_gamma_par2","t_switch","K","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","lnlike"
101,2.9446126751136,4.01011642324738,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.1871182997711,0,0,1e-05,0.32010537548922,0,0,1e-05,0.653837135061622,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.2208092068322,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.12153544602916,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.440390752395615,0,0,1e-05,0.257703613024205,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.641945956973359,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.0878775042947382,-4729.31285035645
111,2.9446126751136,4.01011642324738,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.1871182997711,0,0,1e-05,0.32010537548922,0,0,1e-05,0.653837135061622,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.61378021514975,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.440390752395615,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.641945956973359,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.0878775042947382,-4649.41967824097
121,2.9446126751136,4.01011642324738,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.1871182997711,0,0,1e-05,0.32010537548922,0,0,1e-05,0.653837135061622,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.61378021514975,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.440390752395615,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.829020253149793,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.269521250855178,-4614.61778869385
131,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.5026719479356,0,0,1e-05,0.286793588427827,0,0,1e-05,1.09536136128008,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.0197696869727224,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.61378021514975,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.440390752395615,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.829020253149793,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.269521250855178,-4355.33561879602
141,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.5026719479356,0,0,1e-05,0.286793588427827,0,0,1e-05,1.09536136128008,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.00649073952808978,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.61378021514975,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.0803319334518163,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.807727808132768,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.829020253149793,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.269521250855178,-4352.51415936002
151,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.5026719479356,0,0,1e-05,0.286793588427827,0,0,1e-05,1.09536136128008,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.00649073952808978,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.61378021514975,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.0803319334518163,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.558602324221283,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.829020253149793,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.269521250855178,-4348.26792156653
161,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.74682657676749,0,0,1e-05,0.286793588427827,0,0,1e-05,1.09536136128008,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.00649073952808978,0,0,1e-05,0.302864444209263,0,0,1e-05,0.462843868182972,0,0,1e-05,0.820518997032195,0,0,1e-05,1.61378021514975,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.0803319334518163,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.558602324221283,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.829020253149793,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.269521250855178,-4345.25599410696
171,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.74682657676749,0,0,1e-05,0.286793588427827,0,0,1e-05,1.09536136128008,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.00649073952808978,0,0,1e-05,0.307388292858377,0,0,1e-05,0.462843868182972,0,0,1e-05,0.912392073776573,0,0,1e-05,2.08672576094978,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.0803319334518163,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.410084082046524,0,0,1e-05,0.529046843526885,0,0,1e-05,0.558602324221283,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.829020253149793,0,0,1e-05,0.172240694984794,0,0,1e-05,0.633493264438584,0,0,1e-05,0.213208135217428,0,0,1e-05,0.269521250855178,-4301.90008879955
181,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,729763.797991909,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.74682657676749,0,0,1e-05,0.286793588427827,0,0,1e-05,1.09536136128008,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.00649073952808978,0,0,1e-05,0.307388292858377,0,0,1e-05,0.462843868182972,0,0,1e-05,0.912392073776573,0,0,1e-05,2.08672576094978,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.0803319334518163,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.273383296560496,0,0,1e-05,0.324634104734287,0,0,1e-05,0.558602324221283,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.663816065527499,0,0,1e-05,0.119872675742954,0,0,1e-05,1.02820970444009,0,0,1e-05,0.213208135217428,0,0,1e-05,0.258507464779541,-4271.48893160701
191,3.27045132336207,4.12943758605979,500,2.5,2.35777527932078,54,1,4,1.4,0.466,5.23,0.87,48,675575.435399078,0.25,1,37,0,0,0,1e-05,1.02017162228003,0,0,1e-05,1.94050086801872,0,0,1e-05,0.286793588427827,0,0,1e-05,0.983456972287968,0,0,1e-05,0.0266999010927976,0,0,1e-05,0.223800136009231,0,0,1e-05,0.00649073952808978,0,0,1e-05,0.307388292858377,0,0,1e-05,0.462843868182972,0,0,1e-05,0.912392073776573,0,0,1e-05,2.08672576094978,0,0,1e-05,0.425118912011385,0,0,1e-05,0.441795974504203,0,0,1e-05,0.0803319334518163,0,0,1e-05,0.0921305497176945,0,0,1e-05,0.273383296560496,0,0,1e-05,0.324634104734287,0,0,1e-05,0.558602324221283,0,0,1e-05,0.654723928077146,0,0,1e-05,0.0352585532236845,0,0,1e-05,0.663816065527499,0,0,1e-05,0.119872675742954,0,0,1e-05,1.02820970444009,0,0,1e-05,0.213208135217428,0,0,1e-05,0.258507464779541,-4247.13575434795
