date,mean_delay,direction
2020-02-05,3.8312881499698324,forward
2020-02-06,3.7157230117795548,forward
2020-02-06,3.6035343089598766,forward
2020-02-07,3.4914448122865593,forward
2020-02-08,3.376177292537419,forward
2020-02-08,3.2544545204895767,forward
2020-02-09,3.123007452375673,forward
2020-02-09,2.979970126110962,forward
2020-02-10,2.826457765928619,forward
2020-02-11,2.663966805246166,forward
2020-02-11,2.493993677480289,forward
2020-02-12,2.318034816047676,forward
2020-02-12,2.1375866543661273,forward
2020-02-13,1.9541456258501153,forward
2020-02-14,1.7692081639174155,forward
2020-01-19,12.239517351464974,backward
2020-01-19,11.443795356166792,backward
2020-01-19,10.656392410294869,backward
2020-01-20,9.88562756326764,backward
2020-01-20,9.139819864527258,backward
2020-01-20,8.427288363491957,backward
2020-01-21,7.756352109587987,backward
2020-01-21,7.135330152241599,backward
2020-01-21,6.572541540879036,backward
2020-01-22,6.076287659388729,backward
2020-01-22,5.652001450736938,backward
2020-01-22,5.299100743853762,backward
2020-01-23,5.016245957943117,backward
2020-01-23,4.802097512208923,backward
2020-01-23,4.655315825855098,backward
2020-01-24,4.574561318085064,backward
2020-01-24,4.558494408104388,backward
2020-01-25,4.605775515115821,backward
2020-01-25,4.714890322839465,backward
2020-01-25,4.879025115400224,backward
2020-01-26,5.0852395140238436,backward
2020-01-26,5.320251859687598,backward
2020-01-26,5.5707804933750324,backward
2020-01-27,5.823543756067771,backward
2020-01-27,6.065259988747433,backward
2020-01-27,6.2826475323956394,backward
2020-01-28,6.462424727995619,backward
2020-01-28,6.592445899559851,backward
2020-01-28,6.673771173884267,backward
2020-01-29,6.715980550522311,backward
2020-01-29,6.728796026906764,backward
2020-01-29,6.721939600470388,backward
2020-01-30,6.705133268645768,backward
2020-01-30,6.688099028866101,backward
2020-01-31,6.680558878564018,backward
2020-01-31,6.692234815172294,backward
2020-01-31,6.731073793124639,backward
2020-02-01,6.795090153198592,backward
2020-02-01,6.878845222835367,backward
2020-02-01,6.976896862597223,backward
2020-02-02,7.083802933045874,backward
2020-02-02,7.194121294743041,backward
2020-02-02,7.302409808250442,backward
2020-02-03,7.403226334130771,backward
2020-02-03,7.491130348995752,backward
2020-02-03,7.562290917370484,backward
2020-02-04,7.617507093098857,backward
2020-02-04,7.6584053487095005,backward
2020-02-05,7.686612156731262,backward
2020-02-05,7.7037539896922,backward
2020-02-05,7.711457320121288,backward
2020-02-06,7.711348620547149,backward
2020-02-06,7.705054363498408,backward
2020-02-06,7.6942097563163605,backward
2020-02-07,7.680974095102676,backward
2020-02-07,7.668319013538266,backward
2020-02-07,7.6592860238050235,backward
2020-02-08,7.656916638084972,backward
2020-02-08,7.664252368560124,backward
2020-02-08,7.684334727412502,backward
2020-02-09,7.720205226824582,backward
2020-02-09,7.774905378977676,backward
2020-02-09,7.851161151880549,backward
2020-02-10,7.946033864538361,backward
2020-02-10,8.051685066029634,backward
2020-02-11,8.160114746817147,backward
2020-02-11,8.263322897360279,backward
2020-02-11,8.353309508121821,backward
2020-02-12,8.422074569563453,backward
2020-02-12,8.461618072146846,backward
2020-02-12,8.46394000633368,backward
2020-02-13,8.422087584303863,backward
2020-02-13,8.337424729499334,backward
2020-02-13,8.215281374144942,backward
