"sampno","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","t_switch","K","i0","t0","lnlike"
221,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,858980.012831757,1,37,-251.330344333632
231,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,858980.012831757,1,37,-251.330344333632
241,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,841780.979794789,1,37,-250.833806841841
251,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,841780.979794789,1,37,-250.833806841841
261,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,841780.979794789,1,37,-250.833806841841
271,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,854344.548601504,1,37,-250.819240364873
281,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,854344.548601504,1,37,-250.819240364873
291,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,854344.548601504,1,37,-250.819240364873
301,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,854344.548601504,1,37,-250.819240364873
311,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5462797707626,854344.548601504,1,37,-250.819240364873
321,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5147918016934,867258.371268997,1,37,-254.498377438167
331,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5147918016934,835337.35842378,1,37,-250.412123300825
341,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5325001861587,835337.35842378,1,37,-251.037436444078
351,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5325001861587,835337.35842378,1,37,-251.037436444078
361,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5325001861587,835337.35842378,1,37,-251.037436444078
371,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,55.5325001861587,829791.886827055,1,37,-251.976370998061
381,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.3513274843266,829791.886827055,1,37,-251.538899749713
391,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.3513274843266,814968.940355381,1,37,-248.416904064515
401,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.3513274843266,814968.940355381,1,37,-248.416904064515
411,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.3513274843266,814968.940355381,1,37,-248.416904064515
421,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.419390044604,814968.940355381,1,37,-249.221541804196
431,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.3992440209162,814968.940355381,1,37,-248.696432474671
441,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.4142775435005,829107.882532244,1,37,-249.377229953872
451,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,56.4142775435005,834076.105216441,1,37,-250.143756407598
