"sampno","size","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","lnorm_incu_par1","lnorm_incu_par2","serial_interval_gamma_alpha","serial_interval_gamma_scale","recovery_shape","recovery_scale","t_switch","K","local_r_mean","local_r_sd","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","growth_rate","i0","t0","local_r","lnlike"
101,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.6003493414457,0,0,1e-05,1.66805945522074,0,0,1e-05,1.91669957908378,0,0,1e-05,2.1043756380673,0,0,1e-05,0.569154282,0,0,1e-05,1.78208754983351,0,0,1e-05,1.88598688358001,0,0,1e-05,0.58028021,0,0,1e-05,0.800502686663628,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,0.476507195611083,0,0,1e-05,1.93492505675637,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.87329134393637,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.977214332629241,0,0,1e-05,0.988618076234357,0,0,1e-05,1.57255482926056,0,0,1e-05,2.41876010367178,0,0,1e-05,1.50293703793544,0,0,1e-05,3.27034712265707,0,0,1e-05,0.946741349385082,-6543.26058695883
111,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.64234143243739,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.72267912306552,0,0,1e-05,2.44014427360233,0,0,1e-05,2.6825736045514,0,0,1e-05,0.954228861249521,0,0,1e-05,1.93483431173498,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,0.476507195611083,0,0,1e-05,1.93492505675637,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.87329134393637,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.977214332629241,0,0,1e-05,0.988618076234357,0,0,1e-05,1.57255482926056,0,0,1e-05,2.41876010367178,0,0,1e-05,1.50293703793544,0,0,1e-05,3.27034712265707,0,0,1e-05,0.946741349385082,-6077.41195578631
121,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.64234143243739,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.72267912306552,0,0,1e-05,2.44014427360233,0,0,1e-05,2.6825736045514,0,0,1e-05,0.954228861249521,0,0,1e-05,1.93483431173498,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,1.53642837399577,0,0,1e-05,1.32897820882023,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,0.977214332629241,0,0,1e-05,0.988618076234357,0,0,1e-05,1.57255482926056,0,0,1e-05,2.41876010367178,0,0,1e-05,1.50293703793544,0,0,1e-05,3.27034712265707,0,0,1e-05,0.946741349385082,-6003.18670982321
131,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.64234143243739,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.72267912306552,0,0,1e-05,2.44014427360233,0,0,1e-05,2.6825736045514,0,0,1e-05,0.954228861249521,0,0,1e-05,1.93483431173498,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,1.53642837399577,0,0,1e-05,1.32897820882023,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,2.00314009325231,0,0,1e-05,0.988618076234357,0,0,1e-05,1.39443075641547,0,0,1e-05,2.41876010367178,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,0.909215550841725,-5988.05012021574
141,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.64234143243739,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.72267912306552,0,0,1e-05,2.44014427360233,0,0,1e-05,2.62585787874672,0,0,1e-05,0.954228861249521,0,0,1e-05,1.93483431173498,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,1.53642837399577,0,0,1e-05,1.32897820882023,0,0,1e-05,1.92512014000917,0,0,1e-05,1.45823464310057,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,2.00314009325231,0,0,1e-05,0.988618076234357,0,0,1e-05,1.39443075641547,0,0,1e-05,2.41876010367178,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,0.909215550841725,-5988.08719781315
151,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.64234143243739,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.72267912306552,0,0,1e-05,2.44014427360233,0,0,1e-05,2.62585787874672,0,0,1e-05,0.954228861249521,0,0,1e-05,2.88563198400205,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,1.53642837399577,0,0,1e-05,1.32897820882023,0,0,1e-05,1.92512014000917,0,0,1e-05,1.47558338579516,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,1.83779053607603,0,0,1e-05,2.09811263846843,0,0,1e-05,1.03216819988326,0,0,1e-05,2.00314009325231,0,0,1e-05,0.988618076234357,0,0,1e-05,1.39443075641547,0,0,1e-05,2.41876010367178,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,0.909215550841725,-5881.00361145179
161,100,4.7087046707049,2.47725561633706,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,2.55420321360039,0,0,1e-05,0.816029590747201,0,0,1e-05,1.64234143243739,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.72267912306552,0,0,1e-05,2.44014427360233,0,0,1e-05,2.62585787874672,0,0,1e-05,0.954228861249521,0,0,1e-05,2.88563198400205,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,1.53642837399577,0,0,1e-05,1.32897820882023,0,0,1e-05,1.92512014000917,0,0,1e-05,1.47558338579516,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,2.2720711181976,0,0,1e-05,2.07960294048446,0,0,1e-05,0.72020952705522,0,0,1e-05,2.00314009325231,0,0,1e-05,0.988618076234357,0,0,1e-05,1.39443075641547,0,0,1e-05,3.27213939561971,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,2.08223756423216,-5878.85427446331
171,100,4.7087046707049,1.53415174363181,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,3.3349659444652,0,0,1e-05,0.816029590747201,0,0,1e-05,2.85812040527454,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.92819229852603,0,0,1e-05,2.44014427360233,0,0,1e-05,2.62585787874672,0,0,1e-05,0.954228861249521,0,0,1e-05,2.88563198400205,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,1.53642837399577,0,0,1e-05,1.32897820882023,0,0,1e-05,1.92512014000917,0,0,1e-05,1.47558338579516,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,2.2720711181976,0,0,1e-05,2.07960294048446,0,0,1e-05,0.72020952705522,0,0,1e-05,2.00314009325231,0,0,1e-05,0.988618076234357,0,0,1e-05,1.39443075641547,0,0,1e-05,3.27213939561971,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,2.08223756423216,-5383.36894202784
181,100,4.7087046707049,1.53415174363181,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,3.3349659444652,0,0,1e-05,0.816029590747201,0,0,1e-05,2.85812040527454,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.92819229852603,0,0,1e-05,3.66389385718938,0,0,1e-05,2.73118393976733,0,0,1e-05,1.3946389882979,0,0,1e-05,2.88563198400205,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,2.24779394896661,0,0,1e-05,2.53152342081991,0,0,1e-05,2.79482551377972,0,0,1e-05,2.44173026224859,0,0,1e-05,1.5595085052975,0,0,1e-05,1.49544738593045,0,0,1e-05,2.2720711181976,0,0,1e-05,2.07960294048446,0,0,1e-05,0.72020952705522,0,0,1e-05,2.00314009325231,0,0,1e-05,0.988618076234357,0,0,1e-05,1.39443075641547,0,0,1e-05,3.27213939561971,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,2.08223756423216,-5242.63385763285
191,100,4.7087046707049,1.53415174363181,3,7.26,1.57,0.65,2.29,2.777777778,9.18,2.46,48,1e+05,1,0.5,0.25,1,37,0,0,0,1e-05,3.3349659444652,0,0,1e-05,0.816029590747201,0,0,1e-05,2.85812040527454,0,0,1e-05,1.66805945522074,0,0,1e-05,2.0736569185792,0,0,1e-05,2.1043756380673,0,0,1e-05,1.92819229852603,0,0,1e-05,3.66389385718938,0,0,1e-05,2.73118393976733,0,0,1e-05,1.3946389882979,0,0,1e-05,2.88563198400205,0,0,1e-05,1.76243699463903,0,0,1e-05,0.862833593612114,0,0,1e-05,2.24779394896661,0,0,1e-05,2.53152342081991,0,0,1e-05,2.79482551377972,0,0,1e-05,2.44173026224859,0,0,1e-05,1.5595085052975,0,0,1e-05,2.33898880902212,0,0,1e-05,2.48965897174665,0,0,1e-05,2.07960294048446,0,0,1e-05,1.21727087010392,0,0,1e-05,2.00314009325231,0,0,1e-05,2.0598261420757,0,0,1e-05,1.39443075641547,0,0,1e-05,3.27213939561971,0,0,1e-05,2.15787169194776,0,0,1e-05,3.27034712265707,0,0,1e-05,2.08223756423216,-5192.56129891877
