"sampno","confirm_delay_shape","confirm_delay_scale","weibull_alpha","weibull_sigma","t_switch","K","i0","t0","lnlike"
321,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
331,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
341,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
351,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
361,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
371,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,122527.933251197,1,37,-310.669393669687
381,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,121821.306913184,1,37,-304.415770634942
391,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,121821.306913184,1,37,-304.415770634942
401,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,121821.306913184,1,37,-304.415770634942
411,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,121821.306913184,1,37,-304.415770634942
421,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,121821.306913184,1,37,-304.415770634942
431,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,121821.306913184,1,37,-304.415770634942
441,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,47.9733355924055,120733.844518727,1,37,-302.801377114991
451,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0521258752415,120733.844518727,1,37,-303.305294834898
461,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0521258752415,120733.844518727,1,37,-303.305294834898
471,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0540148476944,120733.844518727,1,37,-303.453361979971
481,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120733.844518727,1,37,-301.661623648144
491,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120733.844518727,1,37,-301.661623648144
501,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120733.844518727,1,37,-301.661623648144
511,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120985.185803653,1,37,-301.154754225812
521,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120985.185803653,1,37,-301.154754225812
531,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120985.185803653,1,37,-301.154754225812
541,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,120985.185803653,1,37,-301.154754225812
551,6.20549361561975,1.74450827191774,2.30061603626184,6.85540711811364,48.0116921301181,121399.315860818,1,37,-301.463341967082
