X,alpha,sigma
512,2.796800633,8.284466077
513,3.968726159,6.508977886
514,2.894974782,7.070018697
515,2.567690474,9.793899322
516,2.763404519,7.235564939
517,3.436341935,6.528266379
518,4.341392593,6.676040867
519,2.775534999,7.673838087
520,2.412584813,6.902935532
521,3.600902619,7.68550615
522,2.612959793,7.137697259
523,3.926714362,7.26272743
524,3.196438003,6.639033386
525,4.334692614,6.869671671
526,2.409420769,7.178548526
527,4.676139559,7.108787417
528,2.435122203,7.602498631
529,2.258309912,7.178384775
530,2.812064071,6.601003459
531,3.293364935,6.453471529
532,2.385724081,7.231229645
533,2.463234541,6.314969169
534,2.46849807,7.260265612
535,2.448553482,7.419413353
536,3.465165073,6.544168573
537,3.427737752,7.039614174
538,3.486829811,6.975555136
539,2.501436362,6.470249708
540,2.668717657,6.76055796
541,2.313557387,7.094495392
542,2.355656979,8.550903378
543,2.358710043,7.461351846
544,3.474326875,7.452793351
545,3.556373167,6.814777521
546,3.621915742,7.867648134
547,2.925601407,6.537363764
548,3.331585713,8.549586325
549,2.263289188,8.047449367
550,3.266801518,6.668380748
551,3.258981036,6.814811058
552,2.31795759,6.687666174
553,3.478894275,7.023329537
554,2.768651408,7.372194406
555,2.633993144,7.944976143
556,3.220109018,7.704028686
557,3.760949847,7.56905171
558,4.119767606,6.504370016
559,2.448028691,8.089023115
560,3.662039212,7.359588059
561,3.650957392,6.666431925
562,3.088070329,6.855676964
563,3.064540797,7.367317245
564,2.361117358,7.819569995
565,2.132963902,8.236930462
566,3.468960705,7.014040318
567,2.367392771,6.950339241
568,2.309912653,6.838550184
569,4.331787772,7.258888665
570,3.454146661,7.71212824
571,3.202989384,7.829957969
572,2.699477688,8.167731317
573,2.163403367,8.13765914
574,3.468816733,6.769627444
575,2.774158709,7.711238461
576,3.442832347,7.133838095
577,2.759934113,6.996388224
578,2.512470904,7.34477298
579,4.473631711,7.449003943
580,2.443492628,7.432283975
581,3.006709113,7.993735904
582,2.914748607,7.3915636
583,3.175617615,6.858710259
584,1.919482824,7.675462522
585,2.80792792,8.588992749
586,3.802962463,6.930538955
587,3.258336745,7.660762294
588,2.135168777,6.97718729
589,2.041131923,8.940845243
590,2.937721049,6.788504021
591,3.130438756,7.877231635
592,2.581150529,6.800951039
593,3.506158566,6.964017373
594,4.197465367,7.453456991
595,3.038821339,7.028479852
596,3.88743594,7.014207403
597,3.274505482,7.073015356
598,3.572323904,7.384097985
599,3.040429976,8.238238301
600,2.657442516,7.620876016
601,2.276161126,8.3073858
602,2.601646212,7.307237833
603,3.079916427,7.370084046
604,3.212013759,6.969801324
605,2.64912659,6.873495217
606,2.803974784,6.760769397
607,3.49520601,6.83720969
608,2.835460029,7.509731263
609,3.344434922,6.6947566
610,3.006053927,7.213606855
611,2.695847191,7.339914416
612,3.875173369,7.203443496
613,2.890858409,6.698447735
614,3.662847791,6.773898949
615,3.202423272,6.892406535
616,3.258451881,7.235855119
617,3.20078549,6.442139755
618,3.850740953,6.661720757
619,1.88994284,8.802094464
620,3.689333206,6.509255576
621,3.238499413,6.674610059
622,3.165253288,7.011411704
623,2.97671038,7.477321922
624,2.285064017,6.754480223
625,3.579228423,6.535058538
626,2.775285649,6.76687445
627,2.73831854,8.357473084
628,3.03730656,6.954558997
629,3.573362359,7.349744979
630,3.458872154,7.288455247
631,2.281186711,8.31646531
632,2.714901521,7.155964213
633,2.700753965,7.296921088
634,2.978608833,6.995632229
635,2.970919802,6.855470728
636,2.749549274,6.056090086
637,3.35049716,6.908697523
638,3.302064141,6.999960179
639,2.145810763,7.593856572
640,2.672857947,8.108495601
641,3.26696354,7.999653392
642,2.636815003,6.96747605
643,3.345095065,6.973313792
644,3.245220165,7.315290791
645,3.501133253,6.388058768
646,2.463733998,6.56502583
647,2.720432112,6.343095883
648,2.23793893,7.029792886
649,2.48659174,7.389102826
650,3.11020331,6.65839377
651,2.551935212,7.791939059
652,2.665569109,7.057013855
653,2.437220121,8.161655092
654,3.567930946,7.18282298
655,3.047436046,7.935859954
656,2.59013264,7.187830684
657,2.590267066,8.107664475
658,2.624694685,7.322297661
659,2.404179937,6.119313197
660,3.068083641,7.233702269
661,3.066817588,6.544757945
662,2.549737761,6.939936135
663,2.963589837,6.300908944
664,3.551415392,8.882148179
665,2.993889216,6.4160879
666,3.101911197,7.173568845
667,2.818589568,7.707609556
668,3.404515649,7.188607964
669,2.141416347,7.841832587
670,2.653557904,6.914565534
671,3.455813557,7.507712519
672,3.359197054,7.430716112
673,4.743238747,7.169757669
674,2.820897385,7.221676467
675,2.670759379,8.07090261
676,2.999848495,7.864328065
677,3.127065612,8.267569338
678,2.514921456,6.308333749
679,2.716018634,8.797795538
680,2.645125198,6.710954824
681,2.729149401,7.293751666
682,4.002329437,7.234995798
683,3.358711472,7.786077665
684,2.963630366,6.913005513
685,3.50959869,6.806694592
686,2.492853118,7.073203034
687,3.128751883,7.510967609
688,2.627374464,8.000532198
689,3.895050588,6.809929991
690,2.728659458,6.921588832
691,3.82337787,7.172721778
692,2.579329876,8.167422631
693,3.405889498,6.171875499
694,2.699132181,6.633905374
695,2.542494607,7.389810503
696,3.296369297,6.890878552
697,4.020785751,7.015700279
698,3.555862468,7.776208272
699,2.496093498,7.147596574
700,2.308110812,7.149120329
701,2.320090071,7.258674848
702,2.654515177,7.113762095
703,3.567438423,6.296834774
704,3.042247294,7.341884354
705,2.451057569,7.516378468
