X,alpha,sigma
5434,3.072924404,7.493480224
5435,3.042301795,6.882478817
5436,2.987925763,7.683668192
5437,3.775923918,6.853564355
5438,2.703026362,7.298244729
5439,3.067514195,7.416151487
5440,3.060041999,7.211083981
5441,3.401431838,6.401988574
5442,3.070067182,7.161771389
5443,2.498432563,7.306052364
5444,3.574951862,6.447540536
5445,3.213336952,7.896530024
5446,2.583459155,7.308931297
5447,3.381950494,7.111578013
5448,2.886895285,7.070958674
5449,3.369382723,6.808813182
5450,3.44502865,7.262505412
5451,2.573060709,7.212618632
5452,2.979049161,8.167358117
5453,2.477185737,7.867483799
5454,3.412053825,7.589151745
5455,2.762859691,7.338654824
5456,2.433765082,6.153162474
5457,3.012241608,7.001269054
5458,2.698865203,7.904531513
5459,3.022294693,7.39651047
5460,2.563562867,7.650929493
5461,2.821909185,7.576032459
5462,2.471191387,8.471596604
5463,3.549374945,6.99688776
5464,3.218866473,7.434692622
5465,3.195852231,6.633915455
5466,2.435135548,6.734270152
5467,3.225516774,6.974547121
5468,3.111372296,6.936034475
5469,3.695543731,6.844750406
5470,2.322003101,7.582692546
5471,3.272905894,7.174159687
5472,2.921871009,7.302745694
5473,3.923026666,6.954202085
5474,2.573275432,6.803201878
5475,2.843350846,7.158536591
5476,2.155933113,8.364932743
5477,2.78165201,6.605622797
5478,2.089678059,7.904634182
5479,4.000493603,6.778145895
5480,2.446077933,7.357361085
5481,2.022856311,7.979205489
5482,3.403872531,6.825897579
5483,3.057723679,7.017227139
5484,2.36797568,6.584354644
5485,3.24217861,7.400168695
5486,3.747440184,6.491140574
5487,3.017931469,7.589053343
5488,3.958110736,6.603425303
5489,3.96541869,6.492109836
5490,2.235387659,7.730774679
5491,3.009923063,6.84428263
5492,2.798641326,7.134206215
5493,2.005449863,8.610462618
5494,3.157393798,7.045713567
5495,3.078679078,6.649543667
5496,1.815334365,7.360461659
5497,3.428127174,6.680554602
5498,3.039147627,6.750942113
5499,3.149752631,6.889255951
5500,2.726092169,7.115566851
5501,3.042228034,8.337984378
5502,2.915741383,6.694985743
5503,3.623728229,7.017020294
5504,3.31099957,6.49632389
5505,3.149137292,6.127520854
5506,3.151026437,7.100953104
5507,2.277181373,7.90606914
5508,2.83596509,6.925730119
5509,3.475666509,6.825019996
5510,2.323801515,7.027125246
5511,4.293568865,6.62689089
5512,2.52732946,9.058657588
5513,3.453659266,8.434022919
5514,2.960958984,7.298048311
5515,4.083185416,6.909377067
5516,3.05452445,6.367704124
5517,3.939640059,7.081888652
5518,2.540759294,7.399664089
5519,3.213195971,6.480348982
5520,3.709219982,6.609151429
5521,2.527024411,7.690636494
5522,3.035052865,7.935501809
5523,2.29810927,8.144286334
5524,4.04428605,6.682834987
5525,3.310459175,6.693860525
5526,3.72573968,6.958503531
5527,4.319545266,6.683464857
5528,2.944394122,8.056475202
5529,3.043518411,6.943665398
5530,2.902778463,7.562576191
5531,3.94677197,7.640300648
5532,3.035370944,7.050266776
5533,3.625660799,7.787729437
5534,3.109026282,6.094624474
5535,2.922737715,7.454821281
5536,3.226189564,7.568581481
5537,3.464964608,7.023962749
5538,2.282897695,7.379286612
5539,2.406192021,7.968722907
5540,2.344027138,8.021696896
5541,4.395976994,6.704125856
5542,2.507364498,7.129926348
5543,3.177808903,7.382109074
5544,2.804781659,6.975544941
5545,3.111965385,7.491525275
5546,2.941189068,8.336220537
5547,3.317831004,6.764698591
5548,2.806666412,6.868551752
5549,3.238341837,7.279688789
5550,3.296317517,6.669954798
5551,3.165906551,6.559573832
5552,4.078107618,7.366610627
5553,3.178540279,7.200579794
5554,3.00004016,7.712752406
5555,3.48700146,7.612794063
5556,3.018155385,7.319324929
5557,2.31371304,7.077896203
5558,2.271768513,6.8121974
5559,2.089596105,7.791108232
5560,3.404288037,7.060472955
5561,3.161525286,7.035463404
5562,3.15934281,7.78873458
5563,2.214229996,7.296351767
5564,3.422089473,6.90457828
5565,2.764044669,6.740645365
5566,3.602065705,7.567191489
5567,2.355249914,6.368236294
5568,3.004715989,7.144103173
5569,3.130197589,7.40775328
5570,2.956802637,6.510349297
5571,2.972323426,7.23110236
5572,3.664208424,6.986030668
5573,2.782969998,7.147027356
5574,3.100862159,7.220240001
5575,2.86060282,6.974498708
5576,2.108902477,7.264163551
5577,3.158121347,6.889032492
5578,2.610223092,8.250661106
5579,2.309038943,8.308616594
5580,2.312156549,8.12471791
5581,2.539534184,8.012121246
5582,3.10739735,8.164505741
5583,3.058971328,7.314222814
5584,3.902409686,6.766480918
5585,3.055863054,7.504948244
5586,2.746378667,7.138110663
5587,2.800197556,7.608246022
5588,2.225642522,7.826176935
5589,2.271125431,8.264497886
5590,2.767438627,7.203181816
5591,3.177803983,7.29884277
5592,3.220135605,7.689949707
5593,2.431960232,6.490831941
5594,3.68063192,7.507241051
5595,3.208235958,6.83559075
5596,4.155008785,7.189172377
5597,3.251250168,6.72240606
5598,2.563055743,7.411000973
5599,2.405492778,7.446266212
5600,2.979350648,7.403668987
5601,3.0123703,7.514799299
5602,3.388853033,7.113022708
5603,2.900463626,7.005565826
5604,2.858186668,7.857827813
5605,2.292896682,7.309846536
5606,3.014159473,6.857992597
5607,2.944743895,6.755920666
5608,3.799724572,7.395660743
5609,3.826637639,6.807470129
5610,3.244823147,7.087406576
5611,3.716790748,6.44241733
5612,3.41162687,7.6952561
5613,2.71285282,7.405143803
5614,2.178931308,6.80625876
5615,2.890236731,6.689771798
5616,3.043676469,6.601788553
5617,3.766179463,7.303984822
5618,2.15875707,7.979003413
5619,3.241269772,7.450905723
5620,2.990959463,8.064470543
5621,3.74842487,7.308809988
5622,2.426552108,7.65657469
5623,2.159211227,8.418093487
5624,3.255452221,7.451373122
5625,2.832279555,6.559194347
5626,2.86950098,7.317647364
5627,2.546367114,8.275696259
5628,3.584202024,7.392763417
5629,2.877179236,7.137761798
5630,3.922289415,7.190434498
5631,4.052274041,6.915130633
5632,1.88152514,8.712169576
5633,3.398953071,7.359584938
5634,3.042676422,7.208007043
5635,2.513401265,7.142066949
5636,2.796301579,7.946154697
5637,3.020028656,7.129669036
5638,3.811919294,6.866231913
5639,2.038168505,7.177469398
5640,2.610236938,6.967161082
5641,3.886239427,6.496817056
5642,3.4589707,7.503843806
5643,2.747398963,7.849090964
5644,3.038046621,7.627341955
5645,3.425704895,6.601030072
5646,2.172749169,8.07116288
5647,2.541739539,8.029348326
5648,2.868202884,6.865350482
5649,3.594174639,7.505503912
5650,2.396299603,7.304272201
5651,3.583135604,6.690863573
5652,2.496295545,7.485073554
5653,2.767860796,7.594277993
5654,2.727953232,7.590673846
5655,3.744825006,6.398953317
5656,3.43156192,6.311326736
5657,3.156159784,7.115062443
5658,2.992854585,7.655429106
5659,3.34962711,6.568273035
5660,3.374693098,6.725862045
5661,2.955852104,7.963443577
5662,3.844564241,7.037921641
5663,2.167329269,8.988643958
5664,2.446202346,7.733083411
5665,3.533507485,6.920609395
5666,2.257229129,8.847628631
5667,3.153228761,7.469201585
5668,3.530872593,7.64819377
5669,2.980946305,7.346805089
5670,2.755374761,6.802374149
5671,3.75524228,7.209710535
5672,2.911227743,6.654224239
5673,3.36603497,7.755945092
5674,2.970105389,6.650314521
5675,2.758859329,8.044271046
5676,2.21211726,7.646985073
5677,4.18032322,7.306438638
5678,2.650625098,6.471967976
5679,2.995223377,6.764123658
5680,3.173004598,6.720112388
5681,4.716137695,6.409955594
5682,2.683918955,8.410659764
5683,2.530292129,8.2372737
5684,2.714186752,8.686701767
5685,2.142440931,7.167661287
5686,2.424603327,7.445372682
5687,2.372820725,8.340126502
5688,3.285445067,6.736061565
5689,3.197060223,6.604235606
5690,4.145587647,7.440778238
5691,3.158196663,7.312111882
5692,3.676122461,6.286487927
5693,2.43637276,7.669628516
5694,4.205645029,6.984183833
5695,3.069867106,7.091918818
5696,2.808964886,6.710921434
5697,2.284182904,7.699689363
5698,3.278003839,8.270674778
5699,2.733138553,7.531520724
5700,2.430298261,7.5944466
5701,2.688413528,7.422381855
5702,2.974628759,7.332610026
5703,3.335051574,6.887088199
5704,2.397108265,7.386660081
5705,3.304560544,7.484660338
5706,4.068707494,6.216844077
5707,3.94963719,6.743556848
5708,2.946643452,6.329462133
5709,3.305025628,6.76825532
5710,2.804863146,6.705178358
5711,2.396200433,8.010020151
5712,3.307580393,6.697967468
5713,3.119563122,6.431574214
5714,3.609059002,6.524938773
5715,2.548267596,7.064497826
5716,3.674055462,6.809615474
5717,3.358395957,7.189432259
5718,2.543093335,6.993615773
5719,2.958822054,6.552341096
5720,3.296487071,7.013430345
5721,2.039914563,7.646827975
5722,2.853717313,7.085222596
5723,2.37817415,7.229083928
5724,3.330222568,7.095935555
5725,3.447651038,7.256527786
5726,2.944503758,6.730264422
5727,2.753188492,6.784897737
5728,2.623313496,7.103965809
5729,4.163009929,6.680651081
5730,3.415655465,8.041170099
5731,3.221365832,7.088510428
5732,3.197557098,6.250724489
5733,3.603558568,7.064754205
5734,2.727753251,7.656213043
5735,2.581605481,7.545398032
5736,3.926814781,7.259238491
5737,2.827863329,6.908972006
5738,2.302365455,6.642123
5739,4.227018717,6.860269854
5740,2.271422025,6.175187406
5741,2.810551692,6.711863923
5742,3.240231805,7.00626675
5743,2.164145344,8.843155894
5744,2.613053178,6.435387851
5745,3.008228957,7.587922787
5746,2.794747986,7.37497418
5747,3.810907183,6.955099984
5748,2.670717892,8.433389208
5749,1.970042031,6.910730786
5750,3.290146922,6.563550507
5751,3.182513783,6.988422278
5752,3.632808579,7.458081181
5753,2.408963936,6.790276048
5754,3.848310436,7.596357329
5755,2.577947386,8.251625013
5756,2.934207925,6.334662695
5757,3.456716251,6.922190043
5758,3.529534194,7.653197112
5759,3.112251649,6.836186675
5760,3.080152473,7.472765224
5761,3.401945438,6.887603547
5762,3.325968972,6.912142888
5763,2.801377465,7.284350844
5764,3.17660461,7.417252398
5765,3.602709205,6.894084677
5766,2.909679765,7.293926084
5767,2.382502729,7.85893864
5768,2.173555697,7.94262157
5769,2.947207311,7.359203395
5770,3.825990317,7.923823728
5771,3.823958951,7.326617371
5772,4.053718814,7.247505434
5773,2.558750703,6.72856782
5774,3.119303272,7.359146314
5775,3.775365029,6.544108727
5776,2.246714556,7.425052437
5777,3.697072939,6.81762215
5778,3.207385679,7.432209256
5779,3.122149993,7.488054544
5780,3.556065497,7.931257791
5781,3.538443832,6.646463475
5782,2.946262845,7.241787973
5783,2.628697779,7.343379042
5784,2.696720534,7.327234028
5785,3.574139951,6.928333151
5786,3.201915719,8.079579863
5787,2.553694741,7.652696022
5788,3.494721506,6.46171611
5789,2.577982381,7.449493064
5790,2.850399778,6.885239087
5791,4.416655486,6.942899263
5792,3.064399652,7.604853682
5793,2.641399153,6.2619779
5794,3.674717792,6.511495825
5795,2.844532327,7.229121164
5796,2.352354377,7.412318279
5797,2.61616926,7.233637494
5798,2.481256685,7.543829442
5799,2.335937232,8.124706515
5800,3.13870393,7.774853143
5801,2.359045683,7.209477546
5802,2.851978422,7.012560117
5803,3.063577379,6.448426249
5804,3.453252882,6.624520259
5805,3.806445678,7.57863918
5806,3.019546759,6.431949145
5807,2.722998263,8.466630067
5808,3.679408712,6.853406726
5809,2.454218829,6.546288999
5810,3.894237706,7.23809335
5811,3.249355472,8.072737843
5812,2.247714253,7.99191516
5813,2.669612462,6.962361949
5814,3.142819533,6.933127657
5815,1.958479165,6.990414332
5816,3.128075982,7.344879704
5817,3.450775674,6.506057123
5818,2.291437997,7.846296772
5819,2.990951935,8.715580137
5820,2.613474796,7.800908564
5821,3.007274041,7.26991996
5822,2.776584588,8.476403939
5823,2.806109013,7.064222538
5824,3.50945041,8.564773412
5825,2.486062392,8.207392394
5826,3.321701828,7.940791963
5827,3.957417796,6.986413358
5828,2.88503759,7.183135223
5829,2.111103509,8.360411248
5830,3.445269759,6.925755029
5831,2.554164437,7.35639377
5832,3.708340316,7.390708121
5833,2.266151144,7.349598582
5834,3.406497286,6.991568041
5835,2.285843209,6.961465835
5836,2.662561815,6.280089044
5837,3.465365856,7.108131297
5838,2.431193037,7.922289079
5839,2.11079077,7.079979457
5840,2.515550715,7.178533857
5841,2.807308852,7.083308352
5842,2.403656361,7.390293319
5843,2.618167649,7.363972372
5844,2.602517829,7.342442598
5845,4.058277232,7.050378186
5846,2.664767442,8.026552605
5847,2.220971415,7.690858303
5848,3.238413108,6.774703832
5849,3.353874565,6.551767124
5850,2.667605646,7.776017676
5851,3.630217589,7.254665856
5852,3.063650728,7.179315777
5853,2.886813121,7.207015101
5854,2.825093661,6.978928586
5855,2.961037308,7.975026579
5856,2.249152358,7.738762854
5857,2.45934494,6.992147222
5858,3.335411556,6.562264979
5859,2.431093705,6.960180213
5860,2.561378016,7.105363688
5861,2.54424109,7.584653409
5862,2.104444052,7.817472556
5863,3.024058552,6.830107181
5864,2.204683649,7.683289852
5865,2.492995495,7.65935663
5866,4.331672176,6.995538537
5867,2.266716921,6.723969012
5868,3.177944836,6.675810201
5869,2.70784435,7.433435607
5870,3.319345893,7.398496455
5871,2.535649046,6.626988878
5872,3.269560498,7.341583129
5873,2.784185668,7.719831216
5874,2.990299683,6.199520796
5875,2.768982837,7.51335792
5876,1.894163648,7.311712711
5877,2.546651031,7.634789464
5878,2.544196559,7.36515062
5879,2.587761554,8.236277031
5880,2.812848886,6.450437469
5881,2.258052968,7.594685749
5882,3.219855412,6.558966138
5883,2.962111363,6.665851255
5884,3.046494993,7.162132141
5885,4.018844656,7.151905936
5886,3.934713332,6.831553733
5887,2.91071162,6.805728518
5888,4.075970599,6.745908694
5889,3.2366802,7.350679641
5890,3.154933656,7.897380549
5891,2.299881043,6.625153063
5892,2.067012894,7.382111793
5893,3.153986868,6.861256372
5894,2.604989781,7.289276876
5895,2.896139047,7.457436117
5896,2.864615679,6.940564042
5897,2.303486169,7.856079435
5898,2.303811891,6.764773187
5899,2.494421968,7.263658107
5900,2.483106476,7.803829085
5901,3.288740392,7.226311634
5902,2.579198397,7.507490558
5903,2.504187225,7.030402795
5904,3.048971887,7.572643487
5905,2.764375864,7.927182136
5906,4.42638751,6.708844668
5907,2.945223837,8.001869463
5908,4.161958391,7.126335585
5909,3.66809771,7.70465809
5910,2.395033959,7.129456352
5911,2.521221649,7.041580921
5912,2.00627928,8.490772705
5913,3.468822153,6.628836637
5914,2.722266036,7.39552305
5915,2.557194021,6.456671529
5916,3.146555073,7.268387094
5917,2.581494001,7.669137564
5918,2.731032619,6.691027116
5919,3.146221011,7.033029877
5920,2.726979105,9.226617799
5921,2.888527677,7.454265329
5922,3.013532284,7.366254833
5923,3.3352803,6.256984184
5924,3.392894322,7.981390872
5925,3.492454518,6.831032917
5926,2.220068986,7.774244893
5927,3.126845069,7.924544244
5928,3.751385585,6.9662351
5929,2.136795194,6.487928035
5930,3.295915612,6.901026653
5931,3.301633786,7.351572938
5932,3.120077405,7.447680072
5933,3.123320611,6.582510656
5934,3.189356565,6.831270772
5935,1.913050689,6.58957338
5936,2.921450745,6.541302053
5937,2.557395141,7.684997608
5938,2.494213137,8.112702489
5939,3.409264436,7.186879352
5940,3.470915355,7.316481622
5941,2.804972999,7.598397312
5942,2.620468472,7.163983486
5943,2.353718061,7.128947547
5944,2.571552489,8.041761629
5945,1.916134686,7.187824723
5946,3.512449517,7.276587722
5947,3.039328559,6.888806797
5948,2.762568966,7.768925946
5949,3.383621708,6.990886766
5950,3.208403364,8.213892081
5951,3.247735683,6.391603563
5952,2.782403991,7.189184425
5953,3.873948286,7.041878786
5954,3.222019057,6.954975001
5955,2.411483944,7.001477012
5956,2.960256446,7.807450922
5957,2.959227846,7.75094561
5958,3.355920242,7.34116192
5959,2.439648955,8.434651176
5960,2.001433672,7.375624088
5961,3.486818887,7.023700822
5962,3.145513544,7.277097118
5963,3.778497668,7.108370769
5964,3.105504328,7.728120518
5965,2.886322574,7.193794002
5966,2.70930455,6.841785593
5967,3.121679446,7.655187861
5968,3.332364729,6.994082623
5969,2.488570506,8.937134304
5970,3.493477528,6.926714803
5971,3.60783792,7.076027634
5972,2.609363968,7.18041472
5973,3.180556217,6.976627075
5974,2.94543899,7.431034923
5975,4.114299552,7.114649494
5976,2.611400337,8.028162246
5977,2.85568498,6.028837189
5978,1.70834608,8.053890545
5979,2.013701965,7.297607751
5980,2.033168788,7.760249931
5981,2.845882196,7.906597761
5982,2.900766208,7.306187342
5983,2.769430724,7.403418671
5984,4.069146687,7.227808781
5985,2.162337783,7.079649245
5986,2.332570999,7.994999907
5987,2.717316224,7.538665495
5988,3.574426417,6.544291998
5989,2.394217397,7.567227002
5990,3.169663136,6.571305972
5991,2.509867921,7.457735174
5992,2.996827027,6.88823071
5993,3.624060839,7.381151552
5994,3.478932336,6.671402382
5995,3.386607088,7.226935873
5996,3.340807294,6.794284616
5997,2.810909074,7.127167429
5998,3.030346638,6.846343447
5999,2.636583235,6.865876979
6000,3.235247638,7.01649651
6001,3.053528257,7.029243575
6002,2.498851267,6.13558569
6003,3.589990932,7.280931321
6004,2.796980369,6.306659161
6005,2.62937724,6.954120891
6006,3.10609544,6.532215203
6007,2.529607748,7.472004039
6008,3.067584065,7.412029854
6009,5.261953785,6.57625593
6010,3.114812739,6.905329361
6011,3.269631692,6.677252619
6012,2.584897549,7.246050476
6013,3.274714499,7.133164399
6014,2.961286949,7.63790235
6015,3.916777217,7.152000655
6016,2.721973172,7.34822636
6017,3.017520278,6.641356576
6018,4.104352039,6.74577888
6019,2.867150913,7.618860827
6020,2.384554323,6.779531568
6021,3.945812608,6.149491656
6022,3.029051306,7.374691525
6023,3.015200942,6.646711319
6024,2.536579989,7.221581853
6025,3.036762547,6.139103395
6026,3.351925869,6.541929498
6027,2.646878984,7.562519001
6028,3.009994128,6.287762495
6029,3.386311113,6.843480372
6030,3.004256798,6.666239292
6031,3.1573342,7.662426406
6032,3.918538928,7.259143774
6033,2.79925382,7.224130734
6034,2.849252268,7.071337929
6035,3.652014391,7.700863252
6036,2.842382463,7.508348419
6037,1.981455339,10.7291997
6038,3.235702053,7.455277464
6039,2.968504278,7.324991545
6040,3.393694014,6.935726974
6041,2.629183871,7.592018983
6042,2.910564189,8.305386619
6043,2.413732115,8.129688997
6044,2.740903124,7.23303993
6045,3.136109748,6.891860975
6046,2.318084034,8.667182965
6047,3.840885648,6.546061887
6048,2.595926202,6.535506841
6049,2.020079882,8.943473954
6050,2.870563561,6.604465101
6051,4.374105256,7.446762469
6052,2.404277789,8.076885542
6053,4.028857863,6.669096379
6054,3.936475874,7.367841026
6055,3.193556731,6.336522682
6056,3.610357926,6.700776084
6057,2.791634922,7.328885522
6058,4.580005628,6.822677788
6059,3.132881394,6.657176144
6060,3.828853673,7.181483919
6061,3.464990208,7.337899454
6062,3.063798845,7.30476239
6063,2.276523898,7.731383003
6064,3.117281372,7.122262598
6065,3.292121007,7.119354415
6066,1.754887813,6.25468251
6067,2.857348498,7.260796077
6068,2.497591406,6.964919274
6069,2.851037911,7.179464319
6070,3.343403642,6.425889448
6071,2.933001783,7.201771388
6072,2.771337293,7.838033444
6073,3.374317143,6.151088455
6074,3.305851951,7.580299287
6075,2.457525156,8.802059061
6076,3.011830773,6.867189897
6077,2.525010804,7.014914809
6078,2.94482307,7.19853875
6079,2.945446002,8.082769863
6080,2.65235801,7.767814785
6081,2.376075693,7.437064297
6082,2.388729843,7.601466822
6083,1.913239018,8.095680423
6084,3.388713859,6.845701323
6085,2.175624744,6.724797654
6086,2.951016553,6.974903444
6087,3.220518561,7.500367584
6088,2.339271146,7.799281249
6089,4.081770642,7.810147196
6090,2.813257869,7.261817843
6091,3.348180815,7.231147013
6092,3.663614002,7.312416629
6093,2.58237887,7.35978846
6094,3.567871494,7.093422581
6095,2.490710852,6.406958579
6096,3.386958415,7.376603175
6097,3.654913931,6.877931099
6098,2.793530182,8.133751814
6099,3.291251918,7.606005393
6100,3.156739976,6.695027648
6101,2.933438693,6.5204974
6102,3.047560134,7.495099011
6103,3.127373295,6.342275717
6104,3.275639417,7.059771732
6105,2.752090178,7.768745164
6106,2.397037886,7.106324696
6107,2.390086405,6.416553976
6108,3.446617372,7.136555162
6109,3.20556402,8.06581946
6110,2.954781189,7.318772655
6111,3.15168612,7.413265018
6112,2.959616089,6.366031525
6113,2.954260369,7.237433682
6114,2.983347512,6.97080064
6115,3.432755343,6.386345484
6116,2.626692637,7.283161785
6117,2.688609066,6.60155214
6118,3.148735931,7.428662711
6119,3.048569917,8.442567995
6120,3.332341179,7.489788276
6121,2.851994857,7.673576803
6122,2.931454172,7.07796662
6123,2.188960325,7.432801455
6124,3.833300015,7.345496856
6125,3.321739202,6.816635627
6126,3.77650276,7.1805966
6127,3.626842228,6.957091311
6128,2.763118815,7.114232809
6129,3.077904837,7.511498096
6130,2.82168553,6.930985914
6131,3.326409632,6.533309922
6132,3.504543475,6.610915071
6133,3.38965259,7.906073873
6134,3.983592672,7.492752417
6135,4.007680532,7.021652831
6136,2.847563946,6.722000723
6137,2.865134045,7.301516856
6138,3.147404147,6.85230739
6139,2.655888476,7.573308256
6140,4.16531643,6.638760909
6141,3.386210633,7.011111453
6142,3.222070891,8.020844644
6143,2.801822644,7.708203294
6144,3.312393765,6.665246322
6145,3.9237887,6.743994885
6146,3.135433527,7.253805086
6147,3.101489799,7.410094988
6148,4.00067161,7.534726244
6149,2.520758803,6.881315649
6150,2.043334373,7.888240776
6151,3.69538744,6.420082606
6152,3.029854035,6.69223001
6153,4.218657284,7.030917956
6154,2.771352558,8.137328103
6155,2.994204445,6.765713023
6156,3.311721795,7.715793192
6157,2.608419141,7.379722722
6158,3.303802482,6.215396529
6159,3.135394195,7.323636439
6160,2.753500406,7.055231971
6161,1.949082114,7.765383802
6162,3.786510948,6.765562485
6163,2.583253453,7.720380165
6164,2.809162546,7.788363913
6165,3.482961641,6.383394786
6166,2.985345316,7.130129878
6167,2.60299339,7.772256076
6168,2.416409662,7.426473074
6169,3.220692739,7.451891116
6170,3.00457702,6.78990353
6171,4.340809971,6.752116199
6172,3.162735054,6.951933023
6173,3.133219105,7.030582223
6174,3.266750303,7.317313602
6175,2.97823235,7.184963687
6176,3.094103401,7.42528098
6177,3.616819378,6.848172007
6178,2.376001627,7.439945557
6179,2.695629897,8.506641625
6180,2.455373273,7.629601555
6181,2.204758168,6.90419967
6182,2.726184374,6.34476017
6183,2.121059323,8.25592753
6184,2.134868924,7.79812511
6185,2.161217534,7.926158917
6186,3.247399355,7.067880704
6187,2.612826896,7.011230255
6188,2.943335779,6.834672889
6189,4.028645721,6.995368109
6190,3.795946335,6.842811697
6191,3.131531859,7.764016874
6192,3.216688206,7.269695634
6193,2.866443221,7.912694964
6194,2.878866824,7.299379481
6195,3.402858606,7.376006881
6196,3.086935776,6.916984176
6197,2.523037544,7.563882902
6198,3.965492936,6.856455905
6199,3.147585331,7.713878392
6200,2.759797883,7.490058083
6201,3.26091262,7.164571756
6202,4.078112389,6.909171551
6203,2.841491875,7.859167924
6204,3.552594925,6.754090454
6205,2.702199852,7.03985338
6206,2.876217293,5.926400019
6207,4.049788992,6.378098105
6208,3.318064848,6.753368995
6209,3.214822227,6.772979985
6210,2.752901053,7.400339213
6211,3.805213768,5.993592907
6212,2.597996716,6.951832837
6213,3.274059197,6.479357684
6214,2.254983842,6.786604866
6215,3.032376239,6.47402255
6216,3.480943204,6.398257052
6217,3.952829544,6.321155536
6218,2.989193098,8.241226998
6219,2.48991513,6.983627414
6220,2.065034139,9.687809585
6221,3.285954884,7.57095262
6222,3.041786174,7.707980683
6223,3.05871203,6.937829122
6224,3.446534321,7.361275074
6225,2.722775915,6.910477107
6226,3.652654331,7.310526312
6227,2.967309708,6.53173021
6228,2.083863072,8.604402823
6229,2.650137376,7.583646852
6230,1.987888941,8.512509928
6231,3.796908744,6.241289309
6232,2.475765421,8.569718353
6233,2.91132967,7.038603479
6234,3.483053677,6.965351502
6235,3.090970413,7.98301157
6236,2.922589977,6.698928925
6237,2.558713423,7.891985485
6238,2.786765054,6.342014269
6239,3.351307634,7.405146587
6240,2.836148864,7.463754697
6241,3.492139239,7.549698081
6242,2.584090981,7.176392085
6243,2.965955268,6.80362778
6244,2.776160583,7.019426715
6245,3.859338751,7.314312511
6246,2.947545074,8.179999782
6247,3.33821523,7.664238087
6248,3.095558552,7.364600457
6249,2.892026058,8.272755265
6250,3.588941757,6.650279815
6251,1.935646951,8.909828029
6252,2.472451815,8.63603489
6253,3.103874207,7.150712486
6254,3.366641426,7.262928513
6255,4.15706018,7.0209334
6256,2.987770143,7.612573647
6257,3.002576795,7.211862961
6258,2.903838014,7.515108623
6259,2.92002999,7.30722849
6260,3.488007076,6.362971527
6261,2.948982054,7.149686527
6262,2.351808785,7.092470922
6263,3.230485776,7.499872339
6264,2.786689351,8.050678442
6265,2.70730543,6.994483092
6266,3.398541545,7.644172783
6267,2.602096501,7.431022241
6268,3.113200171,7.249846134
6269,2.645929816,6.486240263
6270,3.920798848,7.168182838
6271,2.386781133,6.002388098
6272,2.987809974,6.173998267
6273,2.494068766,7.176604265
6274,3.201325364,6.915665274
6275,2.371138031,6.917690099
6276,2.813109275,7.002979686
6277,2.551915024,7.80046722
6278,3.19029017,6.935434374
6279,2.264912781,8.647408439
6280,3.08300081,7.080078186
6281,3.352630006,6.698746953
6282,2.81403067,6.748631941
6283,2.885051281,7.111469384
6284,2.924482033,6.809207363
6285,3.13820013,6.673853343
6286,3.03567252,8.836586259
6287,3.473928483,7.837754289
6288,2.864006447,7.08452497
6289,2.66425711,7.770674023
6290,3.12887608,7.527310853
6291,2.971835973,7.16103436
6292,3.134051883,7.085159278
6293,2.743794396,7.23919457
6294,2.104876668,7.362394077
6295,2.106788628,8.442829788
6296,2.896252218,6.359885061
6297,3.658338423,7.272202495
6298,2.169119497,7.34557408
6299,2.820474593,7.666906041
6300,2.905663224,7.330388171
6301,2.474807138,6.706902117
6302,4.676069734,6.988950345
6303,3.090531219,7.408714502
6304,2.71254724,7.484750679
6305,3.486022498,7.221654167
6306,2.808169469,6.562913849
6307,3.738915673,6.078278038
6308,3.452206103,6.975069599
6309,3.291602449,7.142892661
6310,3.246982829,6.948854084
6311,2.321863129,6.915221067
6312,2.564546759,7.589250892
6313,2.744471384,6.848323486
6314,3.069630981,7.223288042
6315,3.17769994,6.872307151
6316,2.75286504,7.525157477
6317,3.23015398,7.759423063
6318,4.143091972,7.918386029
6319,2.717230155,7.881846617
6320,3.406236523,7.028843993
6321,3.600526545,7.037082182
6322,2.792179771,7.007739356
6323,3.040630448,6.657632092
6324,2.029814147,8.821567483
6325,2.926145413,6.58227719
6326,2.696101336,6.366384514
6327,3.280340793,7.446449516
6328,2.947619086,6.587078151
6329,2.463893904,7.81465171
6330,3.162525231,6.707328264
6331,2.850874794,6.69291931
6332,3.578543936,6.947150467
6333,2.998645834,6.91474064
6334,3.058490471,7.089898487
6335,2.668905428,6.744918917
6336,2.861487531,7.43159277
6337,2.354791777,7.049092207
6338,2.864451126,7.35428042
6339,2.958672735,7.123132168
6340,3.365480989,7.472770481
6341,2.307544696,8.353629691
6342,2.818437256,7.757567947
6343,3.562594289,7.728693235
6344,3.61570106,7.318482415
6345,2.825248181,6.640952605
6346,2.913345719,8.008490608
6347,3.413270903,7.013441312
6348,2.996172647,6.997021181
6349,2.496841705,7.869660542
6350,2.372940231,7.661496418
6351,3.423791092,7.331935948
6352,2.064579658,7.057434985
6353,3.407627807,7.7263302
6354,3.646066645,6.440989382
6355,2.913476536,6.627034318
6356,3.695671491,6.659275616
6357,4.056871712,6.962763221
6358,3.121966978,7.156220888
6359,2.633508001,7.854311193
6360,2.641144894,6.50029397
6361,3.479923328,8.186534395
6362,3.610593986,6.761882851
6363,4.123749885,6.988538767
6364,3.065541016,8.184935148
6365,3.479936461,7.598320891
